product,status,original_file,normalized_1024_file,original_width,original_height,alpha_or_transparency,source_page,image_url,notes
Looza Sinaas,ok,/Users/kristoflesaffre/Downloads/sappen_fotos/originelen/looza_sinaas.png,/Users/kristoflesaffre/Downloads/sappen_fotos/1024_transparant/looza_sinaas.png,254,818,True,https://looza.be/nl/producten/fruitsap/sinaasappel/,https://looza.be/wp-content/uploads/2025/06/Orange-20cl-REG.png,officieel Looza 20cl glazen flesje
Looza Appel,ok,/Users/kristoflesaffre/Downloads/sappen_fotos/originelen/looza_appel.png,/Users/kristoflesaffre/Downloads/sappen_fotos/1024_transparant/looza_appel.png,322,1026,True,https://looza.be/nl/producten/fruitsap/appel/,https://looza.be/wp-content/uploads/2025/06/Apple-20cl-REG.png,officieel Looza 20cl glazen flesje
Looza Ananas,ok,/Users/kristoflesaffre/Downloads/sappen_fotos/originelen/looza_ananas.png,/Users/kristoflesaffre/Downloads/sappen_fotos/1024_transparant/looza_ananas.png,273,870,True,https://looza.be/nl/producten/fruitsap/ananas/,https://looza.be/wp-content/uploads/2025/06/Pineapple-20cl-REG-.png,officieel Looza 20cl glazen flesje
Looza ACE,ok,/Users/kristoflesaffre/Downloads/sappen_fotos/originelen/looza_ace.png,/Users/kristoflesaffre/Downloads/sappen_fotos/1024_transparant/looza_ace.png,254,810,True,https://looza.be/nl/producten/ace-drinks/ace-original-2/,https://looza.be/wp-content/uploads/2025/06/Ace-Original-20cl-REG-1.png,officieel Looza 20cl glazen flesje
Looza Tomaat,ok,/Users/kristoflesaffre/Downloads/sappen_fotos/originelen/looza_tomaat.png,/Users/kristoflesaffre/Downloads/sappen_fotos/1024_transparant/looza_tomaat.png,260,814,True,https://looza.be/nl/producten/fruitsap/tomaat/,https://looza.be/wp-content/uploads/2025/06/Tomato-20cl-REG.png,officieel Looza 20cl glazen flesje
Looza Peer,ok,/Users/kristoflesaffre/Downloads/sappen_fotos/originelen/looza_peer.png,/Users/kristoflesaffre/Downloads/sappen_fotos/1024_transparant/looza_peer.png,295,918,True,https://looza.be/nl/producten/fruitsap/peer/,https://looza.be/wp-content/uploads/2025/06/Pear-20cl-REG.png,officieel Looza 20cl glazen flesje; gebruikt voor range Cassis/Druif/Peer
Looza Pompelmoes,ok,/Users/kristoflesaffre/Downloads/sappen_fotos/originelen/looza_pompelmoes.png,/Users/kristoflesaffre/Downloads/sappen_fotos/1024_transparant/looza_pompelmoes.png,342,1089,True,https://looza.be/nl/producten/fruitsap/pompelmoes/,https://looza.be/wp-content/uploads/2025/06/Grapefruit-20cl-REG.png,extra Looza sapflesje uit dezelfde officiële range
Looza Appel Kers,ok,/Users/kristoflesaffre/Downloads/sappen_fotos/originelen/looza_appel_kers.png,/Users/kristoflesaffre/Downloads/sappen_fotos/1024_transparant/looza_appel_kers.png,274,849,True,https://looza.be/nl/producten/fruitsap/apple-kers/,https://looza.be/wp-content/uploads/2025/06/Apple-Cherry-20cl-REG.png,extra Looza sapflesje uit dezelfde officiële range
Granini Classic 25cl Multi,ok,/Users/kristoflesaffre/Downloads/sappen_fotos/originelen/granini_classic_25cl_multi.png,/Users/kristoflesaffre/Downloads/sappen_fotos/1024_transparant/granini_classic_25cl_multi.png,1865,4806,True,https://www.granini.be/smaken,https://a.storyblok.com/f/243238/1865x4806/ce6aa36619/025_grtg_gl_multi_be.png,"officieel granini beeld, glazen fles"
Granini Sensation Multivitamin,ok,/Users/kristoflesaffre/Downloads/sappen_fotos/originelen/granini_sensation_multivitamin.png,/Users/kristoflesaffre/Downloads/sappen_fotos/1024_transparant/granini_sensation_multivitamin.png,1075,3583,True,https://www.granini.be/smaken,https://a.storyblok.com/f/243238/1075x3583/d16382d2f5/gra_sensation_mm_-be.png,officieel granini beeld
Pago Apricot,ok,/Users/kristoflesaffre/Downloads/sappen_fotos/originelen/pago_apricot.png,/Users/kristoflesaffre/Downloads/sappen_fotos/1024_transparant/pago_apricot.png,860,784,True,https://www.vhv.rs/viewpic/hTmmJRi_transparent-pineapple-juice-glass-png-pago-juice-png/,https://www.vhv.rs/dpng/d/239-2394497_pago-apricot-pago-fruit-juice-hd-png-download.png,"gevonden transparante PNG, Pago fles"
Pago Ananas,ok,/Users/kristoflesaffre/Downloads/sappen_fotos/originelen/pago_ananas.png,/Users/kristoflesaffre/Downloads/sappen_fotos/1024_transparant/pago_ananas.png,860,796,True,https://www.vhv.rs/viewpic/hTmmJRi_transparent-pineapple-juice-glass-png-pago-juice-png/,https://www.vhv.rs/dpng/d/417-4172114_transparent-pineapple-juice-glass-png-pago-juice-png.png,"gevonden transparante PNG, Pago fles"
Minute Maid Appel,ok,/Users/kristoflesaffre/Downloads/sappen_fotos/originelen/minute_maid_appel.png,/Users/kristoflesaffre/Downloads/sappen_fotos/1024_transparant/minute_maid_appel.png,820,526,False,https://www.pngkey.com/detail/u2w7o0o0a9r5i1a9_minute-maid-apple-mcdonalds-minute-maid-apple-juice/,https://www.pngkey.com/png/detail/321-3215438_minute-maid-apple-mcdonalds-minute-maid-apple-juice.png,gevonden transparante PNG; geen glazen fles
